Launch Date,Trip Size,applications,total_chances,winner_chances
"January 05, 2007",Standard Size,2,6,5
"January 07, 2007",Standard Size,0,0,NA
"January 08, 2007",Standard Size,0,0,NA
"January 10, 2007",Standard Size,1,1,NA
"January 11, 2007",Standard Size,0,0,NA
"January 13, 2007",Standard Size,0,0,NA
"January 14, 2007",Standard Size,0,0,NA
"January 16, 2007",Standard Size,1,5,5
"January 20, 2007",Standard Size,0,0,NA
"January 22, 2007",Standard Size,1,5,5
"January 23, 2007",Standard Size,3,13,3
"January 25, 2007",Standard Size,4,12,1
"February 02, 2007",Standard Size,1,5,5
"February 03, 2007",Standard Size,0,0,NA
"February 05, 2007",Standard Size,2,7,NA
"February 06, 2007",Standard Size,1,1,1
"February 19, 2007",Standard Size,8,20,5
"March 04, 2007",Standard Size,28,120,5
"March 06, 2007",Standard Size,43,201,5
"March 06, 2007",Standard Size,43,201,4
"March 07, 2007",Standard Size,33,133,5
"March 12, 2007",Standard Size,62,302,4
"March 28, 2007",Standard Size,202,882,21
"April 12, 2007",Small Size,107,428,10
"May 26, 2007",Small Size,182,780,13
"June 07, 2007",Standard Size,565,2779,18
"June 18, 2007",Standard Size,544,2689,15
"September 25, 2007",Standard Size,698,3542,11
"September 29, 2007",Standard Size,632,3215,5
"October 27, 2007",Standard Size,358,1661,10
"October 29, 2007",Standard Size,233,1125,5
"November 15, 2007",Standard Size,95,385,5
"November 24, 2007",Standard Size,43,186,5
"November 29, 2007",Standard Size,20,92,9
"December 08, 2007",Standard Size,9,53,15
"December 09, 2007",Standard Size,6,30,5
"December 12, 2007",Standard Size,8,29,5
"December 14, 2007",Standard Size,9,38,5
"December 21, 2007",Standard Size,13,58,2
"December 24, 2007",Standard Size,14,70,5
"December 25, 2007",Standard Size,12,45,5
"December 27, 2007",Standard Size,9,37,5
"December 28, 2007",Standard Size,5,21,5
"December 29, 2007",Standard Size,3,15,NA
"December 30, 2007",Standard Size,3,15,5
