Launch Date,Trip Size,applications,total_chances,winner_chances
2010-10-25,Standard Size,20,41,2
2010-10-29,Standard Size,21,52,5
2010-11-05,Standard Size,24,58,2
2010-11-25,Standard Size,13,38,5
2010-11-28,Standard Size,14,37,5
2010-12-03,Standard Size,11,28,5
2010-12-06,Standard Size,9,22,5
2010-12-07,Standard Size,6,15,2
2010-12-10,Standard Size,3,7,1
2010-12-11,Standard Size,2,6,1
2010-12-14,Standard Size,4,12,5
2010-12-16,Standard Size,4,9,2
2010-12-19,Standard Size,5,17,5
2010-12-20,Standard Size,6,18,5
2010-12-23,Standard Size,8,24,5
2010-12-24,Standard Size,6,22,1
2010-12-25,Standard Size,6,22,1
2010-12-27,Standard Size,8,24,5
