Launch Date,Trip Size,applications,total_chances,winner_chances
1/1/2014,Standard Size,3,15,5
1/2/2014,Standard Size,7,26,5
1/3/2014,Standard Size,7,23,5
1/4/2014,Standard Size,4,11,3
1/5/2014,Standard Size,7,27,5
1/6/2014,Standard Size,9,25,5
1/7/2014,Standard Size,6,14,5
1/8/2014,Standard Size,5,30,14
1/9/2014,Standard Size,3,11,5
1/10/2014,Standard Size,2,6,1
1/11/2014,Standard Size,1,5,5
1/12/2014,Standard Size,3,11,5
1/13/2014,Standard Size,6,19,1
1/14/2014,Standard Size,3,8,5
1/15/2014,Standard Size,5,10,1
1/16/2014,Standard Size,3,8,2
1/17/2014,Standard Size,7,22,5
1/18/2014,Standard Size,5,14,5
1/19/2014,Standard Size,6,22,5
1/20/2014,Standard Size,8,22,2
1/21/2014,Standard Size,4,9,1
1/22/2014,Standard Size,3,4,1
1/23/2014,Standard Size,3,11,5
1/24/2014,Standard Size,3,4,2
1/25/2014,Standard Size,3,11,None
1/26/2014,Standard Size,1,1,1
1/27/2014,Standard Size,3,9,5
1/28/2014,Standard Size,2,4,1
1/29/2014,Standard Size,1,3,3
1/30/2014,Standard Size,2,8,None
1/31/2014,Standard Size,2,8,None
2/1/2014,Standard Size,6,11,5
2/2/2014,Standard Size,6,13,4
2/3/2014,Standard Size,5,11,3
2/4/2014,Standard Size,8,14,5
2/5/2014,Standard Size,6,10,3
2/6/2014,Standard Size,3,7,1
2/7/2014,Standard Size,5,9,1
2/8/2014,Standard Size,4,11,2
2/9/2014,Standard Size,5,12,1
2/10/2014,Standard Size,7,13,1
2/11/2014,Standard Size,8,14,5
2/12/2014,Standard Size,4,10,None
2/13/2014,Standard Size,7,20,5
2/14/2014,Standard Size,4,12,1
2/15/2014,Standard Size,3,11,1
2/16/2014,Standard Size,5,15,2
2/17/2014,Standard Size,10,19,1
2/18/2014,Standard Size,15,31,2
2/19/2014,Standard Size,6,8,2
2/20/2014,Standard Size,9,19,5
2/21/2014,Standard Size,6,13,2
2/22/2014,Standard Size,6,12,2
2/23/2014,Standard Size,10,22,1
2/24/2014,Standard Size,23,44,2
2/25/2014,Standard Size,26,45,5
2/26/2014,Standard Size,33,58,1
2/27/2014,Standard Size,33,64,2
2/28/2014,Standard Size,34,68,1
3/1/2014,Standard Size,15,58,1
3/1/2014,Standard Size,15,58,9
3/2/2014,Standard Size,16,59,1
3/2/2014,Standard Size,16,59,4
3/3/2014,Standard Size,20,67,4
3/3/2014,Standard Size,20,67,5
3/4/2014,Standard Size,25,80,2
3/4/2014,Standard Size,25,80,2
3/5/2014,Standard Size,23,64,5
3/5/2014,Standard Size,23,64,10
3/6/2014,Standard Size,23,65,3
3/6/2014,Standard Size,23,65,11
3/7/2014,Standard Size,27,96,5
3/7/2014,Standard Size,27,96,5
3/8/2014,Standard Size,28,103,2
3/8/2014,Standard Size,28,103,4
3/9/2014,Standard Size,34,117,5
3/9/2014,Standard Size,34,117,5
3/10/2014,Standard Size,44,138,5
3/10/2014,Standard Size,44,138,2
3/11/2014,Standard Size,38,110,5
3/11/2014,Standard Size,38,110,1
3/12/2014,Standard Size,42,108,5
3/12/2014,Standard Size,42,108,3
3/13/2014,Standard Size,52,182,5
3/13/2014,Standard Size,52,182,5
3/14/2014,Standard Size,47,171,5
3/14/2014,Standard Size,47,171,5
3/15/2014,Standard Size,47,191,5
3/15/2014,Standard Size,47,191,5
3/16/2014,Standard Size,57,218,5
3/16/2014,Standard Size,57,218,5
3/17/2014,Standard Size,78,272,5
3/17/2014,Standard Size,78,272,2
3/18/2014,Standard Size,47,140,5
3/18/2014,Standard Size,47,140,5
3/19/2014,Standard Size,45,163,5
3/19/2014,Standard Size,45,163,5
3/20/2014,Standard Size,36,124,5
3/20/2014,Standard Size,36,124,5
3/21/2014,Standard Size,39,141,5
3/21/2014,Standard Size,39,141,1
3/22/2014,Standard Size,35,138,10
3/22/2014,Standard Size,35,138,5
3/23/2014,Standard Size,45,177,5
3/23/2014,Standard Size,45,177,2
3/24/2014,Standard Size,67,241,5
3/24/2014,Standard Size,67,241,5
3/25/2014,Standard Size,77,302,5
3/25/2014,Standard Size,77,302,5
3/26/2014,Standard Size,49,191,15
3/26/2014,Standard Size,49,191,2
3/27/2014,Standard Size,58,214,4
3/27/2014,Standard Size,58,214,1
3/28/2014,Standard Size,57,231,5
3/28/2014,Standard Size,57,231,5
3/29/2014,Standard Size,40,142,5
3/29/2014,Standard Size,40,142,5
3/30/2014,Standard Size,60,211,5
3/30/2014,Standard Size,60,211,5
3/31/2014,Standard Size,71,242,5
3/31/2014,Standard Size,71,242,12
4/1/2014,Standard Size,51,181,5
4/2/2014,Small Size,31,97,5
4/4/2014,Small Size,25,87,5
4/4/2014,Standard Size,45,165,5
4/5/2014,Standard Size,64,219,5
4/6/2014,Small Size,32,77,5
4/6/2014,Standard Size,61,237,5
4/7/2014,Standard Size,65,229,5
4/8/2014,Small Size,35,103,4
4/8/2014,Standard Size,68,294,5
4/9/2014,Standard Size,53,184,4
4/10/2014,Small Size,35,122,5
4/10/2014,Standard Size,57,211,5
4/12/2014,Small Size,22,73,5
4/13/2014,Standard Size,78,282,5
4/14/2014,Small Size,26,86,5
4/14/2014,Standard Size,96,343,3
4/15/2014,Standard Size,88,345,5
4/16/2014,Small Size,34,106,3
4/16/2014,Standard Size,84,329,2
4/17/2014,Standard Size,66,249,5
4/18/2014,Small Size,43,134,5
4/18/2014,Standard Size,75,267,2
4/19/2014,Standard Size,68,270,5
4/20/2014,Small Size,32,90,5
4/20/2014,Standard Size,69,253,12
4/22/2014,Small Size,43,149,5
4/22/2014,Standard Size,101,393,12
4/23/2014,Standard Size,115,397,5
4/24/2014,Small Size,55,160,5
4/24/2014,Standard Size,115,378,5
4/25/2014,Standard Size,120,416,5
4/26/2014,Small Size,44,128,5
4/28/2014,Small Size,60,181,1
4/28/2014,Standard Size,162,552,5
4/29/2014,Standard Size,123,413,2
4/30/2014,Small Size,55,165,5
5/1/2014,Small Size,29,113,5
5/1/2014,Standard Size,63,262,5
5/2/2014,Standard Size,51,219,5
5/3/2014,Small Size,25,85,5
5/3/2014,Standard Size,61,271,5
5/5/2014,Small Size,34,115,5
5/5/2014,Standard Size,77,306,5
5/6/2014,Standard Size,48,199,2
5/7/2014,Small Size,19,76,5
5/7/2014,Standard Size,45,180,5
5/8/2014,Standard Size,50,205,5
5/9/2014,Small Size,19,79,5
5/9/2014,Standard Size,54,218,5
5/11/2014,Small Size,23,88,5
5/12/2014,Standard Size,83,409,5
5/13/2014,Small Size,25,87,5
5/14/2014,Standard Size,88,399,10
5/15/2014,Small Size,23,87,5
5/15/2014,Standard Size,74,321,5
5/16/2014,Standard Size,59,276,16
5/17/2014,Small Size,22,81,2
5/17/2014,Standard Size,61,268,4
5/19/2014,Small Size,38,135,3
5/19/2014,Standard Size,99,437,5
5/21/2014,Small Size,40,135,5
5/21/2014,Standard Size,101,358,5
5/22/2014,Standard Size,104,372,12
5/23/2014,Small Size,25,92,1
5/23/2014,Standard Size,113,429,4
5/24/2014,Standard Size,106,407,2
5/25/2014,Small Size,43,176,1
5/26/2014,Standard Size,164,676,5
5/27/2014,Small Size,25,80,3
5/27/2014,Standard Size,140,600,2
5/29/2014,Small Size,17,50,2
5/29/2014,Standard Size,103,405,12
5/30/2014,Standard Size,89,361,5
5/31/2014,Small Size,15,40,5
5/31/2014,Standard Size,98,390,5
6/2/2014,Small Size,29,84,5
6/2/2014,Standard Size,158,697,77
6/3/2014,Standard Size,113,469,23
6/4/2014,Small Size,26,82,1
6/4/2014,Standard Size,87,380,12
6/5/2014,Standard Size,85,370,5
6/6/2014,Small Size,25,78,5
6/7/2014,Standard Size,101,430,5
6/8/2014,Small Size,22,67,5
6/9/2014,Standard Size,125,532,3
6/10/2014,Small Size,35,130,5
6/11/2014,Standard Size,121,511,5
6/12/2014,Small Size,19,62,5
6/12/2014,Standard Size,102,442,4
6/13/2014,Standard Size,118,506,3
6/14/2014,Small Size,16,58,5
6/14/2014,Standard Size,107,481,4
6/15/2014,Standard Size,102,486,10
6/16/2014,Small Size,17,71,4
6/16/2014,Standard Size,104,482,2
6/17/2014,Standard Size,95,443,5
6/18/2014,Small Size,16,65,5
6/18/2014,Standard Size,84,423,5
6/19/2014,Standard Size,79,333,5
6/20/2014,Small Size,12,50,5
6/22/2014,Small Size,11,41,5
6/22/2014,Standard Size,81,322,5
6/24/2014,Small Size,13,42,4
6/24/2014,Standard Size,113,532,2
6/25/2014,Standard Size,82,384,5
6/26/2014,Small Size,8,28,3
6/26/2014,Standard Size,62,284,44
6/27/2014,Standard Size,72,315,3
6/28/2014,Small Size,7,25,3
6/29/2014,Standard Size,67,284,5
6/30/2014,Small Size,12,40,5
7/2/2014,Small Size,11,44,5
